iter	Passed	Remaining
0	0	41
1	0	37
2	1	35
3	1	33
4	1	34
5	2	33
6	2	31
7	2	31
8	3	31
9	3	31
10	3	30
11	4	30
12	4	29
13	4	29
14	5	29
15	5	29
16	5	28
17	6	28
18	6	28
19	7	31
20	8	30
21	8	30
22	8	29
23	9	29
24	9	28
25	9	27
26	10	27
27	10	26
28	10	26
29	11	25
30	11	25
31	11	24
32	12	24
33	12	23
34	12	23
35	12	23
36	13	22
37	13	22
38	13	21
39	14	21
40	14	20
41	14	20
42	15	20
43	15	19
44	15	19
45	15	18
46	16	18
47	16	17
48	16	17
49	17	17
50	17	16
51	17	16
52	18	16
53	18	15
54	18	15
55	19	15
56	19	14
57	20	14
58	20	14
59	21	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	27	8
76	28	8
77	28	8
78	28	7
79	28	7
80	29	6
81	29	6
82	30	6
83	30	5
84	30	5
85	31	5
86	31	4
87	31	4
88	32	3
89	32	3
90	33	3
91	33	2
92	33	2
93	34	2
94	34	1
95	34	1
96	35	1
97	35	0
98	36	0
99	36	0
