iter	Passed	Remaining
0	62	62613
1	63	31536
2	64	21304
3	64	16063
4	65	13005
5	65	10912
6	66	9394
7	66	8255
8	67	7388
9	67	6725
10	68	6156
11	70	5771
12	70	5351
13	70	4985
14	71	4668
15	71	4390
16	71	4163
17	72	3947
18	72	3752
19	72	3575
20	73	3415
21	73	3275
22	73	3142
23	74	3019
24	74	2912
25	75	2811
26	76	2761
27	77	2678
28	77	2605
29	79	2571
30	81	2533
31	81	2470
32	82	2406
33	82	2355
34	83	2295
35	83	2238
36	83	2183
37	84	2133
38	84	2085
39	85	2042
40	85	2000
41	85	1958
42	86	1923
43	86	1883
44	87	1848
45	87	1814
46	88	1785
47	88	1755
48	88	1724
49	89	1705
50	90	1679
51	90	1653
52	90	1625
53	91	1604
54	93	1599
55	93	1576
56	97	1607
57	98	1602
58	101	1621
59	102	1604
60	102	1583
61	103	1561
62	103	1540
63	103	1520
64	104	1502
65	104	1484
66	105	1465
67	105	1449
68	106	1434
69	106	1417
70	106	1399
71	107	1383
72	107	1367
73	108	1351
74	108	1336
75	108	1325
76	109	1311
77	112	1324
78	112	1311
79	113	1302
80	113	1291
81	114	1277
82	114	1261
83	114	1252
84	115	1244
85	116	1233
86	116	1221
87	118	1225
88	118	1215
89	119	1207
90	119	1196
91	120	1185
92	120	1174
93	121	1166
94	121	1160
95	122	1150
96	122	1141
97	123	1132
98	123	1122
99	123	1113
100	125	1119
101	127	1118
102	129	1123
103	130	1125
104	131	1119
105	131	1111
106	132	1105
107	132	1098
108	133	1089
109	133	1081
110	134	1074
111	134	1066
112	134	1059
113	135	1055
114	136	1047
115	136	1040
116	136	1031
117	137	1024
118	137	1017
119	137	1009
120	138	1002
121	138	994
122	138	988
123	139	984
124	140	982
125	140	977
126	141	971
127	141	965
128	143	967
129	143	961
130	144	958
131	146	962
132	147	958
133	147	952
134	147	946
135	148	942
136	150	945
137	150	939
138	150	934
139	151	928
140	151	925
141	152	919
142	152	913
143	152	908
144	153	902
145	153	900
146	154	896
147	154	891
148	155	886
149	156	885
150	156	882
151	157	879
152	157	874
153	158	871
154	159	866
155	160	869
156	162	870
157	162	866
158	163	863
159	163	860
160	164	855
161	164	850
162	164	845
163	165	842
164	165	837
165	165	833
166	166	829
167	166	824
168	166	820
169	167	816
170	167	812
171	167	808
172	168	804
173	168	800
174	169	796
175	169	792
176	169	789
177	170	785
178	170	782
179	171	780
180	172	780
181	175	789
182	176	787
183	176	783
184	177	779
185	177	776
186	177	772
187	177	768
188	178	765
189	178	761
190	179	759
191	179	756
192	180	752
193	180	749
194	180	746
195	181	743
196	181	739
197	181	736
198	182	733
199	182	730
200	182	726
201	183	723
202	183	720
203	183	717
204	184	714
205	184	711
206	184	708
207	185	705
208	185	702
209	185	699
210	186	696
211	186	694
212	188	696
213	190	698
214	197	722
215	198	720
216	198	717
217	199	714
218	199	711
219	199	708
220	199	704
221	205	720
222	206	719
223	206	716
224	207	713
225	207	710
226	207	707
227	208	704
228	208	702
229	208	699
230	209	696
231	210	695
232	210	692
233	210	690
234	211	689
235	212	686
236	212	683
237	212	681
238	213	678
239	214	679
240	215	677
241	215	674
242	215	671
243	216	669
244	216	667
245	216	664
246	217	661
247	217	659
248	217	656
249	218	654
250	218	651
251	218	649
252	219	647
253	219	644
254	220	643
255	220	640
256	220	638
257	221	637
258	222	635
259	222	632
260	222	630
261	223	628
262	223	625
263	223	623
264	223	620
265	224	618
266	224	616
267	224	614
268	225	611
269	225	609
270	225	607
271	226	605
272	226	602
273	226	600
274	226	598
275	227	596
276	227	594
277	228	592
278	228	590
279	228	588
280	229	586
281	229	584
282	230	583
283	230	580
284	231	581
285	233	584
286	234	582
287	234	580
288	235	578
289	235	576
290	235	574
291	236	572
292	236	570
293	236	568
294	237	566
295	237	564
296	237	562
297	238	560
298	238	558
299	238	556
300	238	554
301	239	552
302	239	551
303	240	549
304	240	547
305	240	546
306	241	544
307	241	542
308	241	541
309	242	539
310	242	537
311	243	535
312	243	534
313	243	532
314	244	530
315	244	529
316	244	527
317	248	533
318	250	535
319	251	534
320	251	532
321	252	530
322	252	529
323	252	527
324	253	525
325	253	524
326	253	522
327	254	520
328	254	519
329	254	517
330	255	516
331	255	514
332	255	512
333	256	511
334	256	509
335	257	508
336	257	506
337	257	505
338	258	503
339	258	502
340	259	501
341	260	501
342	262	502
343	262	501
344	263	500
345	263	498
346	264	497
347	264	495
348	264	493
349	265	492
350	265	491
351	266	490
352	266	489
353	267	488
354	267	486
355	268	485
356	268	484
357	269	483
358	270	482
359	270	480
360	270	479
361	271	478
362	271	477
363	272	475
364	272	474
365	274	476
366	275	475
367	276	475
368	277	473
369	277	472
370	278	471
371	278	470
372	279	469
373	280	468
374	280	467
375	281	466
376	281	465
377	282	464
378	282	463
379	282	461
380	283	460
381	283	458
382	283	457
383	284	456
384	284	454
385	284	453
386	285	451
387	285	450
388	285	449
389	286	447
390	286	446
391	287	445
392	287	443
393	287	442
394	288	442
395	288	440
396	289	440
397	290	438
398	292	441
399	293	440
400	294	439
401	294	438
402	295	437
403	296	437
404	296	435
405	297	434
406	297	433
407	297	432
408	298	430
409	298	429
410	298	428
411	299	427
412	299	425
413	300	424
414	300	423
415	300	422
416	301	420
417	301	419
418	301	418
419	302	417
420	303	416
421	303	415
422	303	414
423	304	413
424	304	412
425	304	410
426	305	409
427	305	408
428	305	407
429	306	406
430	308	407
431	311	409
432	311	408
433	312	407
434	312	406
435	313	405
436	313	403
437	313	402
438	314	401
439	314	400
440	315	399
441	315	398
442	315	397
443	316	395
444	316	394
445	316	393
446	317	392
447	318	392
448	318	391
449	319	390
450	319	389
451	321	389
452	322	389
453	323	389
454	324	388
455	324	387
456	325	386
457	326	385
458	326	384
459	327	383
460	327	383
461	328	382
462	328	381
463	329	380
464	330	380
465	330	379
466	331	378
467	331	377
468	331	375
469	332	374
470	333	374
471	333	373
472	334	372
473	334	371
474	335	370
475	335	369
476	335	368
477	336	367
478	337	366
479	338	366
480	339	366
481	340	365
482	340	364
483	340	363
484	341	362
485	342	361
486	342	361
487	343	360
488	343	359
489	344	358
490	344	357
491	345	356
492	345	355
493	345	354
494	346	353
495	346	352
496	347	351
497	347	350
498	348	349
499	348	348
500	348	347
501	349	346
502	349	345
503	350	344
504	350	343
505	351	342
506	351	341
507	352	341
508	352	340
509	353	339
510	353	338
511	353	337
512	355	337
513	355	336
514	357	336
515	358	335
516	358	334
517	358	333
518	359	333
519	359	332
520	360	331
521	360	330
522	360	329
523	361	328
524	361	327
525	361	326
526	362	325
527	362	324
528	362	323
529	363	322
530	363	321
531	364	320
532	364	319
533	364	318
534	365	317
535	365	316
536	366	315
537	366	314
538	367	313
539	367	313
540	368	312
541	368	311
542	369	310
543	369	310
544	370	308
545	371	308
546	372	308
547	372	307
548	373	306
549	373	305
550	373	304
551	374	303
552	374	302
553	374	301
554	375	300
555	375	299
556	376	299
557	376	298
558	376	297
559	377	296
560	377	295
561	377	294
562	378	293
563	378	292
564	378	291
565	378	290
566	381	291
567	381	290
568	382	289
569	382	288
570	383	287
571	383	286
572	383	285
573	385	285
574	385	285
575	386	284
576	386	283
577	386	282
578	387	281
579	387	280
580	388	280
581	388	279
582	389	278
583	389	277
584	390	277
585	391	276
586	391	275
587	391	274
588	392	273
589	392	272
590	392	271
591	393	271
592	393	270
593	394	269
594	394	268
595	395	267
596	395	266
597	395	266
598	396	265
599	397	264
600	397	264
601	400	264
602	400	263
603	401	263
604	402	262
605	403	262
606	404	261
607	405	261
608	405	260
609	406	259
610	406	259
611	407	258
612	407	257
613	407	256
614	408	255
615	408	254
616	408	253
617	409	252
618	409	252
619	410	251
620	410	250
621	411	249
622	411	249
623	412	248
624	413	247
625	413	247
626	414	246
627	414	245
628	414	244
629	415	243
630	416	243
631	416	242
632	417	241
633	417	241
634	417	240
635	418	239
636	418	238
637	418	237
638	419	236
639	419	236
640	420	235
641	420	234
642	420	233
643	421	232
644	421	231
645	421	231
646	422	230
647	422	229
648	422	228
649	423	227
650	423	227
651	423	226
652	424	225
653	424	224
654	425	223
655	425	223
656	426	222
657	428	222
658	429	221
659	429	221
660	430	220
661	430	219
662	431	219
663	431	218
664	431	217
665	432	216
666	432	215
667	433	215
668	433	214
669	433	213
670	434	212
671	434	212
672	435	211
673	435	210
674	436	210
675	436	209
676	437	208
677	437	207
678	438	207
679	438	206
680	438	205
681	444	207
682	444	206
683	445	205
684	445	204
685	445	204
686	446	203
687	446	202
688	447	201
689	447	201
690	447	200
691	448	199
692	448	198
693	448	197
694	449	197
695	449	196
696	450	195
697	451	195
698	451	194
699	451	193
700	452	192
701	452	192
702	452	191
703	453	190
704	453	189
705	453	189
706	455	188
707	456	188
708	457	187
709	457	186
710	458	186
711	459	185
712	459	185
713	460	184
714	460	183
715	461	182
716	461	182
717	461	181
718	462	180
719	462	179
720	463	179
721	463	178
722	463	177
723	464	176
724	464	176
725	464	175
726	465	174
727	465	173
728	466	173
729	466	172
730	466	171
731	467	171
732	467	170
733	468	169
734	469	169
735	472	169
736	473	168
737	473	168
738	473	167
739	474	166
740	474	165
741	474	165
742	475	164
743	475	163
744	475	162
745	476	162
746	476	161
747	476	160
748	477	159
749	477	159
750	477	158
751	478	157
752	478	156
753	479	156
754	479	155
755	479	154
756	479	154
757	480	153
758	480	152
759	481	151
760	483	151
761	484	151
762	484	150
763	485	150
764	486	149
765	487	149
766	489	148
767	489	147
768	490	147
769	490	146
770	491	145
771	491	145
772	491	144
773	492	143
774	492	142
775	492	142
776	493	141
777	493	140
778	494	140
779	494	139
780	494	138
781	494	137
782	495	137
783	495	136
784	496	135
785	496	135
786	497	134
787	498	134
788	498	133
789	498	132
790	499	131
791	499	131
792	500	130
793	501	130
794	502	129
795	502	128
796	503	128
797	503	127
798	503	126
799	504	126
800	504	125
801	504	124
802	505	123
803	505	123
804	506	122
805	506	121
806	506	121
807	507	120
808	507	119
809	507	119
810	508	118
811	508	117
812	509	117
813	509	116
814	509	115
815	510	115
816	510	114
817	510	113
818	511	112
819	511	112
820	512	111
821	512	111
822	513	110
823	513	109
824	513	109
825	514	108
826	514	107
827	515	107
828	516	106
829	517	105
830	517	105
831	518	104
832	518	103
833	519	103
834	519	102
835	519	101
836	520	101
837	520	100
838	521	100
839	521	99
840	522	98
841	522	98
842	523	97
843	523	96
844	524	96
845	524	95
846	524	94
847	525	94
848	525	93
849	525	92
850	526	92
851	527	91
852	527	90
853	527	90
854	528	89
855	528	88
856	528	88
857	529	87
858	530	87
859	530	86
860	530	85
861	531	85
862	532	84
863	532	83
864	533	83
865	533	82
866	534	81
867	534	81
868	534	80
869	535	79
870	535	79
871	536	78
872	538	78
873	539	77
874	539	77
875	540	76
876	540	75
877	541	75
878	542	74
879	542	73
880	542	73
881	543	72
882	543	72
883	543	71
884	544	70
885	544	70
886	545	69
887	545	68
888	546	68
889	546	67
890	547	66
891	547	66
892	548	65
893	549	65
894	549	64
895	549	63
896	550	63
897	550	62
898	550	61
899	551	61
900	551	60
901	553	60
902	554	59
903	554	58
904	555	58
905	555	57
906	556	57
907	556	56
908	556	55
909	557	55
910	557	54
911	558	53
912	558	53
913	558	52
914	559	51
915	559	51
916	560	50
917	561	50
918	561	49
919	561	48
920	562	48
921	562	47
922	563	46
923	563	46
924	563	45
925	563	45
926	564	44
927	564	43
928	565	43
929	566	42
930	566	41
931	567	41
932	567	40
933	568	40
934	569	39
935	570	38
936	570	38
937	571	37
938	572	37
939	573	36
940	575	36
941	575	35
942	576	34
943	576	34
944	577	33
945	577	32
946	578	32
947	578	31
948	578	31
949	579	30
950	580	29
